Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
I1,19/08/17,Juventus,Cagliari,3,0,"12,46,66",,93,,,1.55,1.13,9.74,27.7
I1,19/08/17,Verona,Napoli,1,3,83,"32,39,62",94,,82,1.61,8.37,5.21,1.41
I1,20/08/17,Atalanta,Roma,0,1,,31,95,,,1.76,2.99,3.44,2.53
I1,20/08/17,Bologna,Torino,1,1,27,33,93,,,2.07,3.35,3.47,2.31
I1,20/08/17,Crotone,Milan,0,3,,"6,18,23",94,5,,1.75,7.42,4.37,1.52
I1,20/08/17,Inter,Fiorentina,3,0,"6,15,79",,94,,,1.71,1.48,4.65,7.7
I1,20/08/17,Lazio,Spal,0,0,,,95,,,1.67,1.29,6.22,11.85
I1,20/08/17,Sampdoria,Benevento,2,1,"38,54",15,95,,,1.96,1.64,4.18,5.86
I1,20/08/17,Sassuolo,Genoa,0,0,,,93,,,1.96,1.9,3.66,4.53
I1,20/08/17,Udinese,Chievo,1,2,37,"15,54",93,,,2.23,2.06,3.45,4.08
I1,26/08/17,Benevento,Bologna,0,1,,55,101,,,2.18,2.58,3.37,2.97
I1,26/08/17,Genoa,Juventus,2,4,"1,7","14,45,62,91",94,,,1.84,8.5,4.39,1.48
I1,26/08/17,Roma,Inter,1,3,15,"67,77,87",93,,,1.63,2.25,3.56,3.39
I1,27/08/17,Chievo,Lazio,1,2,34,"11,89",94,,,2,4.15,3.56,2.01
I1,27/08/17,Crotone,Verona,0,0,,,94,,,2.19,2.85,3.25,2.76
I1,27/08/17,Fiorentina,Sampdoria,1,2,50,"32,35",94,,,1.76,1.68,4.33,5.12
I1,27/08/17,Milan,Cagliari,2,1,"10,7",56,99,,,1.48,1.35,5.52,10.12
I1,27/08/17,Napoli,Atalanta,3,1,"56,61,87",15,93,,,1.56,1.35,5.57,10.02
I1,27/08/17,Spal,Udinese,3,2,"25,53,93","72,87",97,,,2.19,2.51,3.38,3.08
I1,27/08/17,Torino,Sassuolo,3,0,"44,84,88",,96,,,1.72,1.68,4.22,5.32
I1,09/09/17,Juventus,Chievo,3,0,"17,58,83",,93,,,1.62,1.26,6.14,15.3
I1,10/09/17,Atalanta,Sassuolo,2,1,"35,77",27,94,,,1.8,1.63,4,6.43
I1,10/09/17,Benevento,Torino,0,1,,92,94,,,1.71,4.11,3.61,2
I1,10/09/17,Bologna,Napoli,0,3,,"66,83,88",92,,,1.6,8.87,5.28,1.39
I1,10/09/17,Cagliari,Crotone,1,0,33,,95,,,1.86,1.61,4.16,6.25
I1,10/09/17,Inter,Spal,2,0,"27,87",,95,,,1.48,1.22,7.1,16.64
I1,10/09/17,Lazio,Milan,4,1,"38,42,48,49",56,94,92,,1.76,2.32,3.67,3.16
I1,10/09/17,Udinese,Genoa,1,0,15,,93,79,36,2.08,2.48,3.25,3.24
I1,10/09/17,Verona,Fiorentina,0,5,,"2,10,24,62,89",92,,,1.91,3.98,3.65,2.02
I1,16/09/17,Crotone,Inter,0,2,,"82,91",97,,,1.64,9.2,4.91,1.41
I1,16/09/17,Fiorentina,Bologna,2,1,"51,69",52,93,,,1.64,1.57,4.35,6.49
I1,16/09/17,Roma,Verona,3,0,"22,34,61",,92,,66,1.38,1.23,7.19,15.13
I1,17/09/17,Chievo,Atalanta,1,1,52,85,94,,,2.16,2.97,3.31,2.62
I1,17/09/17,Genoa,Lazio,2,3,"57,73","13,70,82",94,,,1.81,4.04,3.71,1.99
I1,17/09/17,Milan,Udinese,2,1,"22,31",28,95,,,1.74,1.39,4.97,9.94
I1,17/09/17,Napoli,Benevento,6,0,"3,15,27,32,65,90",,91,,,1.29,1.1,12,31
I1,17/09/17,Sassuolo,Juventus,1,3,51,"16,49,63",93,,,1.88,9.23,4.32,1.47
I1,17/09/17,Spal,Cagliari,0,2,,"17,68",94,,,1.95,2.43,3.35,3.23
I1,17/09/17,Torino,Sampdoria,2,2,"13,14","1,34",93,,,1.54,1.72,4.2,5
I1,19/09/17,Bologna,Inter,1,1,32,77,95,,,1.74,6.14,4.05,1.64
I1,20/09/17,Atalanta,Crotone,5,1,"5,25,38,63,74",70,92,,,1.85,1.36,5.13,11.4
I1,20/09/17,Benevento,Roma,0,4,,"22,35,52,74",91,,,1.48,9.77,5.68,1.35
I1,20/09/17,Cagliari,Sassuolo,0,1,,60,96,,,1.78,2.22,3.5,3.53
